# customer_ids,predictions,probability_ontime,probability_of_not_ontime
52592.0,2.0,0.43677170253257214,0.563228297467428
160815.0,2.0,0.08597883597883597,0.9140211640211641
113069.0,1.0,0.7694805194805195,0.23051948051948049
91200.0,1.0,0.6501783033033033,0.3498216966966967
118055.0,1.0,0.5,0.5
83868.0,2.0,0.3638593290767204,0.6361406709232796
106014.0,2.0,0.13415763802760705,0.8658423619723931
123431.0,1.0,1.0,0.0
144635.0,1.0,0.5,0.5
138815.0,2.0,0.29139433551198257,0.7086056644880174
21025.0,2.0,0.3333333333333333,0.6666666666666666
54276.0,2.0,0.2890522875816994,0.7109477124183007
146309.0,2.0,0.0,1.0
119755.0,1.0,0.6166666666666667,0.3833333333333333
105647.0,2.0,0.0,1.0
32171.0,1.0,1.0,0.0
88666.0,2.0,0.0,1.0
129610.0,1.0,0.8700980392156863,0.12990196078431374
119000.0,2.0,0.11059448936807427,0.8894055106319257
106070.0,1.0,1.0,0.0
28676.0,2.0,0.16157407407407406,0.8384259259259258
30858.0,2.0,0.3333333333333333,0.6666666666666666
34709.0,1.0,1.0,0.0
130969.0,1.0,1.0,0.0
28724.0,2.0,0.2825844226579521,0.717415577342048
166036.0,2.0,0.125,0.875
156412.0,2.0,0.20601851851851852,0.7939814814814815
26433.0,1.0,0.8939393939393939,0.10606060606060606
54604.0,1.0,1.0,0.0
163703.0,2.0,0.3333333333333333,0.6666666666666666
168721.0,2.0,0.4166666666666667,0.5833333333333334
100455.0,1.0,0.8333333333333334,0.16666666666666666
121866.0,1.0,1.0,0.0
39650.0,1.0,1.0,0.0
92170.0,1.0,1.0,0.0
57019.0,1.0,1.0,0.0
49004.0,1.0,0.6190927218344965,0.38090727816550346
126955.0,2.0,0.4142512077294686,0.5857487922705314
166175.0,1.0,0.6403508771929824,0.35964912280701755
118168.0,1.0,0.8756410256410256,0.12435897435897436
139630.0,2.0,0.0,1.0
15318.0,1.0,1.0,0.0
77908.0,1.0,0.6666666666666666,0.3333333333333333
68424.0,2.0,0.16666666666666666,0.8333333333333334
138263.0,2.0,0.16666666666666666,0.8333333333333334
155233.0,2.0,0.2826839826839827,0.7173160173160174
107792.0,2.0,0.4555821371610845,0.5444178628389155
89551.0,1.0,0.9354341736694679,0.0645658263305322
146764.0,2.0,0.3030137981118373,0.6969862018881626
44224.0,2.0,0.2261904761904762,0.7738095238095237
150322.0,1.0,0.8082010582010583,0.19179894179894177
39618.0,2.0,0.3333333333333333,0.6666666666666666
118786.0,1.0,0.7532904187315951,0.24670958126840478
161963.0,2.0,0.0,1.0
63393.0,2.0,0.0,1.0
142077.0,1.0,1.0,0.0
134154.0,1.0,1.0,0.0
51500.0,2.0,0.39999999999999997,0.6
95431.0,1.0,0.5046296296296297,0.4953703703703704
160825.0,1.0,1.0,0.0
116315.0,2.0,0.06825396825396825,0.9317460317460317
120556.0,1.0,0.875,0.125
142371.0,2.0,0.26337181337181337,0.7366281866281866
64230.0,2.0,0.31176470588235294,0.688235294117647
133061.0,1.0,1.0,0.0
456.0,1.0,1.0,0.0
92227.0,2.0,0.3374534821903243,0.6625465178096758
116703.0,2.0,0.375,0.625
89517.0,1.0,0.7740484153527633,0.22595158464723678
139026.0,1.0,0.7647792022792023,0.23522079772079774
56934.0,2.0,0.16666666666666666,0.8333333333333334
149859.0,2.0,0.3333333333333333,0.6666666666666666
115337.0,1.0,0.9166666666666666,0.08333333333333333
8937.0,1.0,1.0,0.0
27102.0,2.0,0.16666666666666666,0.8333333333333334
87621.0,1.0,0.6268585983966806,0.37314140160331943
91648.0,1.0,1.0,0.0
98579.0,2.0,0.3143518518518518,0.6856481481481481
93374.0,1.0,0.8333333333333334,0.16666666666666666
72325.0,1.0,0.5091800356506239,0.4908199643493761
17862.0,2.0,0.3119013124818078,0.6880986875181923
148565.0,2.0,0.13124805477746657,0.8687519452225335
75865.0,1.0,0.5578403078403078,0.44215969215969214
19799.0,2.0,0.4062049062049062,0.5937950937950939
93233.0,1.0,0.6580224854722073,0.3419775145277926
47372.0,1.0,0.5625,0.4375
66496.0,1.0,1.0,0.0
105185.0,1.0,0.8333333333333334,0.16666666666666666
26142.0,2.0,0.3125,0.6875
43359.0,1.0,0.7333333333333334,0.26666666666666666
92204.0,2.0,0.3374534821903243,0.6625465178096758
24463.0,2.0,0.24183006535947713,0.7581699346405228
76091.0,2.0,0.1604090354090354,0.8395909645909646
64940.0,1.0,0.5416666666666666,0.4583333333333333
11581.0,1.0,1.0,0.0
