id,age_range,bank_balance,customer_monthly_income,employment_type,isDueDateAllignedWithPayDate,loan_amount,marital_status,store_state,percentagePmtAboveIncome
155,46 to 55,113.55,8724.96,Regular Job,0,600,1,OK,0.01365393
156,36 to 45,738.67,9174.04,Regular Job,0,950,1,OK,0.02075967
157,56 to 65,228.2,3106.04,Retired / Pension,1,600,1,MI,0.21783686
158,46 to 55,95.95,3800,Regular Job,0,1200,1,OK,0.06330526
159,26 to 35,38.32,4106.92,Regular Job,0,1400,1,ID,0.03155893
160,36 to 45,0.69,3291,Regular Job,0,1000,1,NM,0.05006989
161,75 and above,1510.48,1456.32,Retired / Pension,0,750,2,NM,0.0832578
162,46 to 55,3,1340.14,Social Security,0,600,2,OK,0.09610936
163,56 to 65,41.5,8374.59,Regular Job,0,1700,1,NM,0
164,26 to 35,3.41,2681.88,Regular Job,0,500,1,NV,0.01937447
165,46 to 55,102.58,2902.96,Regular Job,0,550,2,NM,0.02224626
166,36 to 45,838.81,9968.8,Self Employed,0,750,2,NM,0.00603383
167,26 to 35,928.95,3786.16,Regular Job,0,300,2,VA,0.09890232
168,56 to 65,234.65,4004.52,Regular Job,0,200,2,NM,0.01659375
169,66 to 75,16.22,648,Social Security,0,1500,2,NM,0.38098765
170,16 to 25,0.14,2280,Regular Job,1,300,2,AL,0.15460526
171,56 to 65,583.44,5360.2,Regular Job,0,1500,2,NM,0.02170815
172,46 to 55,140.46,3428.28,Regular Job,1,500,2,OK,0.16499527
173,56 to 65,813.01,3830.64,Regular Job,0,1700,1,NM,0.03201554
174,26 to 35,150.42,4800,Regular Job,0,150,2,MS,0.0375
175,26 to 35,1913.27,4814.72,Regular Job,0,900,1,ID,0.02396401
176,46 to 55,471.22,3917.76,Regular Job,0,600,2,NM,0.01233868
177,26 to 35,234.94,5616.96,Regular Job,0,700,2,NM,0.01106114
178,16 to 25,339.22,2060,Regular Job,0,275,2,MS,0.16280097
179,36 to 45,334.39,4484.24,Regular Job,1,500,2,NM,0.01166976
180,36 to 45,5.49,733,Social Security,0,500,2,OK,0.13675307
181,66 to 75,1.02,1682.72,Retired / Pension,0,200,2,NM,0.02883427
182,75 and above,848.58,1592,Social Security,0,1000,1,NV,0.12301508
183,36 to 45,45.1,3266.12,Regular Job,0,750,1,NV,0.02278238
184,46 to 55,50,2130.48,Regular Job,0,100,2,MS,0.05632534
185,36 to 45,178.47,4068,Self Employed,1,406.82,2,ID,0.01268928
186,56 to 65,5.07,1233,Social Security,0,1500,1,OK,0.24387672
187,36 to 45,420.02,7795.28,Regular Job,1,500,1,AL,0.07536612
188,56 to 65,1514.39,2000,Social Security,0,1300,2,NV,0.16207
189,56 to 65,999.9,9939.52,Self Employed,0,1300,2,NV,0.01702698
190,46 to 55,35.52,4821.4,Regular Job,0,600,2,NM,0.0149189
191,56 to 65,413.17,5747.16,Regular Job,0,550,2,OK,0.01918513
192,75 and above,669.12,3321.85,Retired / Pension,0,500,1,NM,0.03337899
193,66 to 75,163.95,711,Social Security,0,750,2,NM,0.17271449
194,16 to 25,202.53,1932.88,Self Employed,0,250,2,NM,0.01366872
195,66 to 75,7.65,5784.76,Regular Job,0,600,2,MI,0.11696423
196,36 to 45,345.96,6923.08,Regular Job,0,700,2,NV,0.01020355
197,16 to 25,23.35,2320.08,Regular Job,1,600,2,MI,0.29163219
198,46 to 55,514.08,1514.08,Social Security,0,750,1,NV,0.10321119
199,36 to 45,873.36,2344,Social Security,0,500,2,AL,0.25063993
200,75 and above,44.39,1595,Social Security,0,550,1,OK,0.07685893
